City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
120,Arlit,NE,18.7369,7.3853,67.12,10,0,8.86,clear sky,2022-03-14 01:30:35
121,Vanavara,RU,60.34,102.2797,-11.47,97,100,2.71,overcast clouds,2022-03-14 01:30:36
122,Coahuayana,MX,18.7333,-103.6833,69.42,88,0,0.65,clear sky,2022-03-14 01:30:37
123,Hoquiam,US,46.9809,-123.8893,48.45,92,100,17.27,mist,2022-03-14 01:30:37
124,Lodja,CD,-3.4833,23.4333,67.87,91,99,2.42,overcast clouds,2022-03-14 01:30:38
125,Nyurba,RU,63.2842,118.3319,-2.2,90,100,4.18,overcast clouds,2022-03-14 01:30:38
126,Bako,ET,5.7833,36.5667,70.25,44,63,2.73,broken clouds,2022-03-14 01:30:39
127,Hithadhoo,MV,-0.6,73.0833,82.76,71,100,4.92,overcast clouds,2022-03-14 01:30:40
128,La Tuque,CA,47.4334,-72.7824,16.05,67,100,2.3,overcast clouds,2022-03-14 01:26:15
129,Thai Nguyen,VN,21.5928,105.8442,71.38,87,100,3.49,overcast clouds,2022-03-14 01:30:41
130,Henties Bay,NA,-22.116,14.2845,62.82,90,96,10.51,overcast clouds,2022-03-14 01:30:41
131,Saint George,US,37.1041,-113.5841,66.79,13,0,9.22,clear sky,2022-03-14 01:30:25
132,Torbay,CA,47.6666,-52.7314,24.58,79,75,39.12,light shower snow,2022-03-14 01:30:42
133,Sassandra,CI,4.95,-6.0833,77.68,90,74,3.51,broken clouds,2022-03-14 01:30:43
134,Agadir,MA,30.4202,-9.5982,59.45,91,95,6.2,overcast clouds,2022-03-14 01:30:44
135,Balkanabat,TM,39.5108,54.3671,48.51,49,100,1.54,overcast clouds,2022-03-14 01:30:45
136,Marawi,PH,7.9986,124.2928,79.5,73,25,2.24,scattered clouds,2022-03-14 01:30:45
137,Katsuura,JP,35.1333,140.3,66.63,71,15,21.61,few clouds,2022-03-14 01:30:46
138,Singaparna,ID,-7.3515,108.111,81.54,75,92,2.62,overcast clouds,2022-03-14 01:30:46
139,Makushino,RU,55.2103,67.2442,8.35,95,100,9.01,light snow,2022-03-14 01:30:47
140,Ostrovnoy,RU,68.0531,39.5131,25.88,89,100,3.38,overcast clouds,2022-03-14 01:30:47
141,Tiznit,MA,29.5833,-9.5,54.86,85,88,2.89,overcast clouds,2022-03-14 01:30:48
142,Port Hedland,AU,-20.3167,118.5667,93.25,66,0,10.36,clear sky,2022-03-14 01:27:52
143,Touros,BR,-5.1989,-35.4608,80.04,79,92,7.58,overcast clouds,2022-03-14 01:30:48
144,Goderich,CA,43.7501,-81.7165,31.91,80,100,8.05,overcast clouds,2022-03-14 01:30:49
145,Bayir,TR,37.2687,28.2167,23.52,55,0,4.38,clear sky,2022-03-14 01:30:49
146,Umm Lajj,SA,25.0213,37.2685,64.76,52,0,11.32,clear sky,2022-03-14 01:30:50
147,Port Alfred,ZA,-33.5906,26.891,66.02,87,100,26.66,light rain,2022-03-14 01:30:50
148,Mahanoro,MG,-19.9,48.8,73.62,93,98,7.11,light rain,2022-03-14 01:30:51
149,Remiremont,FR,48.0175,6.5882,41.18,96,100,8.01,light rain,2022-03-14 01:30:51
150,Omboue,GA,-1.5746,9.2618,78.76,85,100,3.11,light rain,2022-03-14 01:30:52
151,Peniche,PT,39.3558,-9.3811,51.3,85,54,12.19,broken clouds,2022-03-14 01:30:52
152,Geraldton,AU,-28.7667,114.6,75.61,69,28,5.75,scattered clouds,2022-03-14 01:30:53
153,Hasaki,JP,35.7333,140.8333,72.28,67,20,10.78,few clouds,2022-03-14 01:30:54
154,Prainha,BR,-1.8,-53.48,73.4,98,100,2.53,overcast clouds,2022-03-14 01:30:54
155,Sistranda,NO,63.7256,8.834,42.76,72,100,7.29,overcast clouds,2022-03-14 01:30:55
156,Lebu,CL,-37.6167,-73.65,57.22,82,0,18.19,clear sky,2022-03-14 01:30:55
157,Cap Malheureux,MU,-19.9842,57.6142,78.48,84,100,5.01,overcast clouds,2022-03-14 01:30:56
158,Aksu,CN,41.1231,80.2644,52.11,32,100,2.71,overcast clouds,2022-03-14 01:30:56
159,Astoria,US,46.1879,-123.8313,48.09,92,100,11.5,overcast clouds,2022-03-14 01:30:26
160,Malynivka,UA,49.8167,36.7333,18.97,96,82,4.47,broken clouds,2022-03-14 01:30:57
161,Kant,IN,27.8,79.8,69.15,44,0,2.19,clear sky,2022-03-14 01:30:57
162,Morehead,US,37.2711,-87.1764,44.35,53,0,0.0,clear sky,2022-03-14 01:30:58
